* Registrul de temperaturi ridicate *
 *Data*    *Ora*      *Temperatura*
10/05/2021 03:17:08 : 40
10/05/2021 03:17:11 : 40
10/05/2021 03:17:14 : 40
10/05/2021 03:17:16 : 44
10/05/2021 03:17:19 : 44
10/05/2021 03:17:22 : 44
10/05/2021 03:17:25 : 40
10/05/2021 03:17:28 : 45
10/05/2021 03:17:31 : 41
10/05/2021 03:17:33 : 43
10/05/2021 03:17:36 : 41
11/05/2021 23:54:55 : 41
11/05/2021 23:54:58 : 41
11/05/2021 23:55:01 : 41
11/05/2021 23:55:35 : 42
11/05/2021 23:55:39 : 42
16/05/2021 15:39:22 : 46
16/05/2021 15:39:40 : 54
16/05/2021 15:39:43 : 46
16/05/2021 15:39:46 : 47
16/05/2021 15:39:49 : 48
16/05/2021 15:39:52 : 48
16/05/2021 15:39:55 : 47
16/05/2021 15:39:58 : 49
16/05/2021 15:40:01 : 53
16/05/2021 15:40:05 : 60
16/05/2021 15:40:08 : 63
16/05/2021 15:40:13 : 61
16/05/2021 15:40:16 : 62
16/05/2021 15:40:20 : 63
16/05/2021 15:40:23 : 63
16/05/2021 15:40:27 : 64
16/05/2021 15:40:30 : 53
16/05/2021 15:40:33 : 48
16/05/2021 15:40:36 : 47
16/05/2021 15:40:39 : 50
16/05/2021 15:40:42 : 48
16/05/2021 15:40:45 : 46
